id,loan_paid_back
593994,0.8406936742930413
593995,0.8627594118464248
593996,0.3536290856992233
593997,0.8221725354306327
593998,0.8620933598759664
593999,0.8644855468756143
594000,0.8695031327969118
594001,0.8684192871649018
594002,0.8519740309589647
594003,0.014501585753612801
594004,0.058389522696570974
594005,0.8756307389596194
594006,0.7212869929311944
594007,0.0361893762328509
594008,0.8684460305624526
594009,0.6726112334564265
594010,0.8774553731566349
594011,0.7028711336886655
594012,0.8715530655045237
594013,0.8483222800280446
594014,0.37912688433893105
594015,0.8751663060891492
594016,0.84189545641789
594017,0.8125017504959968
594018,0.8196879944124482
594019,0.02618966827810255
594020,0.6637303328103245
594021,0.22545355641216133
594022,0.8678679643639385
594023,0.022175312539222926
594024,0.8643475840128669
594025,0.8513997404846473
594026,0.8760586997610018
594027,0.6805139213382339
594028,0.8225570434522002
594029,0.395285275761455
594030,0.8432350860040235
594031,0.5342570049458248
594032,0.799947860035996
594033,0.8454221393656098
594034,0.8456980289608859
594035,0.2532748597259936
594036,0.7962036430230478
594037,0.8562269728173513
594038,0.8795585901874095
594039,0.7928769095880367
594040,0.7653683034364887
594041,0.8803034804924529
594042,0.08520490024274102
594043,0.8030673491692646
594044,0.8174848110424378
594045,0.881191173773114
594046,0.882521245300806
594047,0.8432420049452976
594048,0.7895659106237614
594049,0.22716478117085476
594050,0.8722544569435342
594051,0.830685919124918
594052,0.6899470878616398
594053,0.8271570851001693
594054,0.6490942084521667
594055,0.8814056333834636
594056,0.7121271557195594
594057,0.8736301411119297
594058,0.861061495152063
594059,0.8714048765163337
594060,0.8753634308718665
594061,0.0212011663872217
594062,0.03583860607748525
594063,0.7640711828703128
594064,0.7644238590982639
594065,0.8821652379467381
594066,0.791274237984029
594067,0.015424202011353576
594068,0.2683563187141434
594069,0.8174094231012865
594070,0.8218776626574087
594071,0.8112475200860148
594072,0.8770852667590459
594073,0.7831206094436269
594074,0.7866988032925364
594075,0.8578971752988971
594076,0.10822955582213292
594077,0.8303541137366697
594078,0.7035687281776865
594079,0.8540940950993817
594080,0.8811287214492335
594081,0.1484098894804842
594082,0.8012565891704001
594083,0.8683692897632006
594084,0.21421882621686517
594085,0.8230461689579736
594086,0.020472145546963572
594087,0.8635589868320728
594088,0.08179399585266411
594089,0.7573778295065872
594090,0.8565686798912288
594091,0.752948070801448
594092,0.38203009273032995
594093,0.849627904517626
594094,0.2276141044924787
594095,0.8199442170056178
594096,0.0145655937402514
594097,0.8422141452378533
594098,0.7249645442876925
594099,0.8583904632311901
594100,0.8101381539899802
594101,0.8498805882602014
594102,0.3023412024198762
594103,0.7989420400552397
594104,0.8658477756818053
594105,0.8598572672368987
594106,0.8578946286936452
594107,0.8147506881343314
594108,0.8375761987851701
594109,0.8741282130307644
594110,0.8692253388642446
594111,0.660535219342701
594112,0.8018621547397289
594113,0.7640696316001732
594114,0.8670718735580324
594115,0.029175658440713074
594116,0.7780251019981139
594117,0.015238625076624698
594118,0.0395722942102842
594119,0.7423563056580946
594120,0.8673733343863905
594121,0.8326572330810336
594122,0.8783072954087185
594123,0.8651218960729361
594124,0.8520759335349237
594125,0.42505632456981024
594126,0.05208282736983632
594127,0.6778722045429889
594128,0.026178136733376826
594129,0.8726732525113928
594130,0.8646378181536549
594131,0.36496638181881413
594132,0.8814843993411687
594133,0.8552566111049495
594134,0.801234428899216
594135,0.019474466822434998
594136,0.8725973194101212
594137,0.8333213245055103
594138,0.8297429431917389
594139,0.83041835577396
594140,0.8636705281270933
594141,0.8664986523325331
594142,0.7983174318072748
594143,0.8492867128966163
594144,0.6419433952769404
594145,0.8749329641782698
594146,0.8777656524328928
